,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,ARKF,BLOCK INC,SQ,852234103,1259801,$91978071.01,10.03
1,2022-08-23,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,2620581,$86950877.58,9.49
2,2022-08-23,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,947318,$67704817.46,7.39
3,2022-08-23,ARKF,TWILIO INC - A,TWLO,90138F102,807032,$59171586.24,6.46
4,2022-08-23,ARKF,UIPATH INC - CLASS A,PATH,90364P105,3179311,$54239045.66,5.92
5,2022-08-23,ARKF,MERCADOLIBRE INC,MELI,58733R102,59481,$52229671.29,5.7
6,2022-08-23,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,4902557,$44319115.28,4.84
7,2022-08-23,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,2555851,$44062871.24,4.81
8,2022-08-23,ARKF,DISCOVERY LTD,DSY,6177878,5481429,$43109826.90,4.7
9,2022-08-23,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,436432,$40457246.40,4.41
10,2022-08-23,ARKF,ADYEN NV,ADYEN,BZ1HM42,24671,$39265375.27,4.28
11,2022-08-23,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,1033017,$35349841.74,3.86
12,2022-08-23,ARKF,TELADOC HEALTH INC,TDOC,87918A105,903619,$29557377.49,3.22
13,2022-08-23,ARKF,TOAST INC-CLASS A,TOST,888787108,1610162,$29256643.54,3.19
14,2022-08-23,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,174343,$28402218.13,3.1
15,2022-08-23,ARKF,ZILLOW GROUP INC - C,Z,98954M200,819718,$26755595.52,2.92
16,2022-08-23,ARKF,STONECO LTD-A,STNE,G85158106,2691366,$23468711.52,2.56
17,2022-08-23,ARKF,Z HOLDINGS CORP,4689,6084848,4708314,$14701599.57,1.6
18,2022-08-23,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,3228852,$14626699.56,1.6
19,2022-08-23,ARKF,INTUIT INC,INTU,461202103,31975,$14264687.00,1.56
20,2022-08-23,ARKF,NVIDIA CORP,NVDA,67066G104,81088,$13812529.92,1.51
21,2022-08-23,ARKF,SEA LTD-ADR,SE,81141R100,207398,$13335691.40,1.45
22,2022-08-23,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,103377,$11147141.91,1.22
23,2022-08-23,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,205910,$11160322.00,1.22
24,2022-08-23,ARKF,ROKU INC,ROKU,77543R102,139344,$9892030.56,1.08
25,2022-08-23,ARKF,JD.COM INC-ADR,JD,47215P106,172946,$9567372.72,1.04
26,2022-08-23,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,716469,$5767575.45,0.63
27,2022-08-23,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,19386,$804519.00,0.09
28,2022-08-23,ARKF,TWITTER INC,TWTR,90184L102,50,$2150.50,0.0
29,2022-08-23,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,607059,$6070.59,0.0
