,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,7060633,$197697724.00,7.3
1,2022-08-23,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3827201,$168473388.02,6.22
2,2022-08-23,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,4665994,$167789144.24,6.2
3,2022-08-23,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3919146,$128195265.66,4.73
4,2022-08-23,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,4344518,$125513125.02,4.63
5,2022-08-23,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1726160,$114530716.00,4.23
6,2022-08-23,ARKG,SCHRODINGER INC,SDGR,80810D103,3870347,$107789163.95,3.98
7,2022-08-23,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2010610,$103365460.10,3.82
8,2022-08-23,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2528199,$99863860.50,3.69
9,2022-08-23,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1748079,$94833285.75,3.5
10,2022-08-23,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,9044472,$93972064.08,3.47
11,2022-08-23,ARKG,CAREDX INC,CDNA,14167L103,4414078,$90400317.44,3.34
12,2022-08-23,ARKG,INCYTE CORP,INCY,45337C102,1061786,$78136831.74,2.89
13,2022-08-23,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,2213714,$72454859.22,2.68
14,2022-08-23,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12593008,$71150495.20,2.63
15,2022-08-23,ARKG,ACCOLADE INC,ACCD,00437E102,6098975,$70992069.00,2.62
16,2022-08-23,ARKG,908 DEVICES INC,MASS,65443P102,3543126,$68524056.84,2.53
17,2022-08-23,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,24592706,$66154379.14,2.44
18,2022-08-23,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,215250,$63249060.00,2.34
19,2022-08-23,ARKG,UIPATH INC - CLASS A,PATH,90364P105,3059149,$52189081.94,1.93
20,2022-08-23,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,236287,$50586683.83,1.87
21,2022-08-23,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,9024339,$47016806.19,1.74
22,2022-08-23,ARKG,VERACYTE INC,VCYT,92337F107,1827761,$38711977.98,1.43
23,2022-08-23,ARKG,QUANTUM-SI INC,QSI,74765K105,11580446,$38794494.10,1.43
24,2022-08-23,ARKG,SOMALOGIC INC,SLGC,83444K105,9811617,$37480376.94,1.38
25,2022-08-23,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2248995,$35219261.70,1.3
26,2022-08-23,ARKG,CODEXIS INC,CDXS,192005106,4404910,$34182101.60,1.26
27,2022-08-23,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,2844491,$33479659.07,1.24
28,2022-08-23,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,3463573,$33423479.45,1.23
29,2022-08-23,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,2713165,$32802164.85,1.21
30,2022-08-23,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,912910,$31960979.10,1.18
31,2022-08-23,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,49423,$30251818.30,1.12
32,2022-08-23,ARKG,PFIZER INC,PFE,717081103,548756,$26834168.40,0.99
33,2022-08-23,ARKG,GUARDANT HEALTH INC,GH,40131M109,558925,$26347724.50,0.97
34,2022-08-23,ARKG,MODERNA INC,MRNA,60770K107,168571,$24016310.37,0.89
35,2022-08-23,ARKG,PERSONALIS INC,PSNL,71535D106,5614279,$21614974.15,0.8
36,2022-08-23,ARKG,ATAI LIFE SCIENCES NV,ATAI UQ,N0731H103,4626454,$19986281.28,0.74
37,2022-08-23,ARKG,INVITAE CORP,NVTA,46185L103,5843675,$19459437.75,0.72
38,2022-08-23,ARKG,CERUS CORP,CERS,157085101,4140849,$19047905.40,0.7
39,2022-08-23,ARKG,ZYMERGEN INC,ZY,98985X100,7712202,$18509284.80,0.68
40,2022-08-23,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,999631,$15694206.70,0.58
41,2022-08-23,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3086219,$12530049.14,0.46
42,2022-08-23,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,6269301,$9905495.58,0.37
43,2022-08-23,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,314364,$5463646.32,0.2
44,2022-08-23,ARKG,SENTI BIOSCIENCES INC,SNTI,81726A100,2149774,$4299548.00,0.16
45,2022-08-23,ARKG,COMPUGEN LTD,CGEN,M25722105,779843,$990400.61,0.04
46,2022-08-23,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,45457,$771859.86,0.03
47,2022-08-23,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,191190,$529596.30,0.02
