,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,ARKX,TRIMBLE INC,TRMB,896239100,493576,$33192986.00,10.55
1,2022-08-23,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1757832,$24908479.44,7.92
2,2022-08-23,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,538637,$24287142.33,7.72
3,2022-08-23,ARKX,AEROVIRONMENT INC,AVAV,008073108,242356,$24247717.80,7.71
4,2022-08-23,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,76666,$17725179.20,5.64
5,2022-08-23,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,760245,$17151127.20,5.45
6,2022-08-23,ARKX,KOMATSU LTD,6301,6496584,581988,$12249036.30,3.89
7,2022-08-23,ARKX,DEERE & CO,DE,244199105,25256,$9335627.84,2.97
8,2022-08-23,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,231812,$9341123.72,2.97
9,2022-08-23,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,1793214,$9288848.52,2.95
10,2022-08-23,ARKX,AMAZON.COM INC,AMZN,023135106,67112,$8940660.64,2.84
11,2022-08-23,ARKX,UIPATH INC - CLASS A,PATH,90364P105,482711,$8235049.66,2.62
12,2022-08-23,ARKX,TERADYNE INC,TER,880770102,84606,$7819286.52,2.49
13,2022-08-23,ARKX,JD LOGISTICS INC,2618,BNMBPD9,4137226,$7423492.05,2.36
14,2022-08-23,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,78067,$7361718.10,2.34
15,2022-08-23,ARKX,VELO3D INC,VLD,92259N104,1866911,$7355629.34,2.34
16,2022-08-23,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,1938723,$7095726.18,2.26
17,2022-08-23,ARKX,JOBY AVIATION INC,JOBY,G65163100,1286868,$7090642.68,2.25
18,2022-08-23,ARKX,ALPHABET INC-CL C,GOOG,02079K107,58518,$6733666.26,2.14
19,2022-08-23,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,28811,$5894154.38,1.87
20,2022-08-23,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,2405010,$5844174.30,1.86
21,2022-08-23,ARKX,THALES SA,HO,4162791,46037,$5731278.74,1.82
22,2022-08-23,ARKX,3D SYSTEMS CORP,DDD,88554D205,530007,$5602173.99,1.78
23,2022-08-23,ARKX,UNITY SOFTWARE INC,U,91332U101,122344,$5529948.80,1.76
24,2022-08-23,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,169445,$5220600.45,1.66
25,2022-08-23,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,23760,$4700678.40,1.49
26,2022-08-23,ARKX,MYNARIC AG,MYNA,62857X101,550995,$4441019.70,1.41
27,2022-08-23,ARKX,SYNOPSYS INC,SNPS,871607107,9993,$3578493.30,1.14
28,2022-08-23,ARKX,HEICO CORP,HEI,422806109,22165,$3521131.90,1.12
29,2022-08-23,ARKX,AIRBUS SE,AIR,4012250,33539,$3443010.06,1.09
30,2022-08-23,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,8675,$3343952.25,1.06
31,2022-08-23,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,7692,$3325482.36,1.06
32,2022-08-23,ARKX,ANSYS INC,ANSS,03662Q105,11128,$2923993.28,0.93
33,2022-08-23,ARKX,PROTO LABS INC,PRLB,743713109,28603,$1199895.85,0.38
