,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,ARKK,TESLA INC,TSLA,88160R101,937941,$815764805.34,10.05
1,2022-08-23,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,7028378,$684845152.32,8.43
2,2022-08-23,ARKK,ROKU INC,ROKU,77543R102,8207940,$582681660.60,7.18
3,2022-08-23,ARKK,BLOCK INC,SQ,852234103,5280287,$385513753.87,4.75
4,2022-08-23,ARKK,TELADOC HEALTH INC,TDOC,87918A105,11276619,$368858207.49,4.54
5,2022-08-23,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5287824,$350847122.40,4.32
6,2022-08-23,ARKK,UNITY SOFTWARE INC,U,91332U101,7710088,$348495977.60,4.29
7,2022-08-23,ARKK,UIPATH INC - CLASS A,PATH,90364P105,20302544,$346361400.64,4.27
8,2022-08-23,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,9469987,$340540732.52,4.19
9,2022-08-23,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4498064,$321476634.08,3.96
10,2022-08-23,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,5916535,$320972023.75,3.95
11,2022-08-23,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,5935864,$305162768.24,3.76
12,2022-08-23,ARKK,TWILIO INC - A,TWLO,90138F102,4105071,$300983805.72,3.71
13,2022-08-23,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,8211517,$272458134.06,3.36
14,2022-08-23,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,14326809,$246994187.16,3.04
15,2022-08-23,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,8494342,$237841576.00,2.93
16,2022-08-23,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,5595090,$232196235.00,2.86
17,2022-08-23,ARKK,PAGERDUTY INC,PD,69553P100,7493106,$191823513.60,2.36
18,2022-08-23,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,6610452,$190975958.28,2.35
19,2022-08-23,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,68415526,$184037764.94,2.27
20,2022-08-23,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,19815504,$179132156.16,2.21
21,2022-08-23,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3683273,$145489283.50,1.79
22,2022-08-23,ARKK,NVIDIA CORP,NVDA,67066G104,710667,$121055016.78,1.49
23,2022-08-23,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2970820,$104008408.20,1.28
24,2022-08-23,ARKK,VERACYTE INC,VCYT,92337F107,4697758,$99498514.44,1.23
25,2022-08-23,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,700890,$76817544.00,0.95
26,2022-08-23,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,13428850,$75873002.50,0.93
27,2022-08-23,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,9715318,$72184812.74,0.89
28,2022-08-23,ARKK,INVITAE CORP,NVTA,46185L103,18542591,$61746828.03,0.76
29,2022-08-23,ARKK,CERUS CORP,CERS,157085101,10730589,$49360709.40,0.61
30,2022-08-23,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3825512,$44108153.36,0.54
31,2022-08-23,ARKK,2U INC,TWOU,90214J101,5912314,$44224108.72,0.54
32,2022-08-23,ARKK,BERKELEY LIGHTS INC,BLI,084310101,2613520,$10610891.20,0.13
33,2022-08-23,ARKK,COMPUGEN LTD,CGEN,M25722105,1741215,$2211343.05,0.03
