,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,338384,$3437981.44,2.92
1,2022-08-23,IZRL,RISKIFIED LTD-A,RSKD,M8216R109,585626,$3168236.66,2.69
2,2022-08-23,IZRL,WALKME LTD,WKME,M97628107,252111,$3037937.55,2.58
3,2022-08-23,IZRL,SILICOM LTD,SILC,M84116108,66905,$2823391.00,2.4
4,2022-08-23,IZRL,MONDAY.COM LTD,MNDY,M7S64H106,22542,$2781908.22,2.36
5,2022-08-23,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,154070,$2749220.11,2.33
6,2022-08-23,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,456368,$2735256.58,2.32
7,2022-08-23,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,1500490,$2674280.43,2.27
8,2022-08-23,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,21421,$2668560.16,2.26
9,2022-08-23,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,99502,$2665658.58,2.26
10,2022-08-23,IZRL,INMODE LTD,INMD,M5425M103,83325,$2633903.25,2.24
11,2022-08-23,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,311121,$2625146.91,2.23
12,2022-08-23,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,254756,$2631629.48,2.23
13,2022-08-23,IZRL,HILAN LTD,HLAN,6267230,42444,$2631526.71,2.23
14,2022-08-23,IZRL,MATRIX IT LTD,MTRX,6747754,98518,$2587422.99,2.2
15,2022-08-23,IZRL,NOVA LTD,NVMI,M7516K103,24303,$2571014.37,2.18
16,2022-08-23,IZRL,NICE LTD - SPON ADR,NICE,653656108,11642,$2561240.00,2.17
17,2022-08-23,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,17543,$2547243.60,2.16
18,2022-08-23,IZRL,COGNYTE SOFTWARE LTD,CGNT,M25133105,556752,$2544356.64,2.16
19,2022-08-23,IZRL,PERION NETWORK LTD,PERI,M78673114,124275,$2520297.00,2.14
20,2022-08-23,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,182046,$2517696.18,2.14
21,2022-08-23,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,370369,$2499990.75,2.12
22,2022-08-23,IZRL,JFROG LTD,FROG,M6191J100,108751,$2492572.92,2.12
23,2022-08-23,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,53472,$2474149.44,2.1
24,2022-08-23,IZRL,MALAM - TEAM LTD,MLTM,6875923,103582,$2479828.97,2.1
25,2022-08-23,IZRL,WIX.COM LTD,WIX,M98068105,36708,$2464575.12,2.09
26,2022-08-23,IZRL,IRONSOURCE LTD-A,IS,M5R75Y101,583202,$2455280.42,2.08
27,2022-08-23,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,M8893U102,196116,$2427916.08,2.06
28,2022-08-23,IZRL,HUB CYBER SECURITY ISRAEL LT,HUB,6226617,1416744,$2410170.37,2.05
29,2022-08-23,IZRL,AUDIOCODES LTD,AUDC,M15342104,105214,$2374679.98,2.02
30,2022-08-23,IZRL,CAMTEK LTD,CAMT,M20791105,82670,$2353614.90,2.0
31,2022-08-23,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,19121,$2345458.24,1.99
32,2022-08-23,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,19254,$2343404.34,1.99
33,2022-08-23,IZRL,RADWARE LTD,RDWR,M81873107,108868,$2310178.96,1.96
34,2022-08-23,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,64601,$2297211.56,1.95
35,2022-08-23,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,125209,$2282506.22,1.94
36,2022-08-23,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,10968,$2262833.72,1.92
37,2022-08-23,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,284149,$2230569.65,1.89
38,2022-08-23,IZRL,STRATASYS LTD,SSYS,M85548101,122928,$2210245.44,1.88
39,2022-08-23,IZRL,CERAGON NETWORKS LTD,CRNT,M22013102,930525,$2168123.25,1.84
40,2022-08-23,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,97070,$2092829.20,1.78
41,2022-08-23,IZRL,TARO PHARMACEUTICAL INDUS,TARO,M8737E108,61819,$2096900.48,1.78
42,2022-08-23,IZRL,TABOOLA.COM LTD,TBLA,M8744T106,826688,$2099787.52,1.78
43,2022-08-23,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,427887,$2036742.12,1.73
44,2022-08-23,IZRL,ALLOT LTD,ALLT,M0854Q105,434667,$2029894.89,1.72
45,2022-08-23,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,187752,$2018334.00,1.71
46,2022-08-23,IZRL,SIMILARWEB LTD,SMWB,M84137104,232504,$1922808.08,1.63
47,2022-08-23,IZRL,COMPUGEN LTD,CGEN,M25722105,1167548,$1482785.96,1.26
