,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,PRNT,VELO3D INC,VLD,92259N104,2233711,$8800821.34,4.34
1,2022-08-23,PRNT,AUTODESK INC,ADSK,052769106,40232,$8706204.80,4.3
2,2022-08-23,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,235904,$8445363.20,4.17
3,2022-08-23,PRNT,TRIMBLE INC,TRMB,896239100,122769,$8256215.25,4.07
4,2022-08-23,PRNT,PTC INC,PTC,69370C100,69956,$8151972.68,4.02
5,2022-08-23,PRNT,XOMETRY INC-A,XMTR,98423F109,174675,$7890069.75,3.89
6,2022-08-23,PRNT,ANSYS INC,ANSS,03662Q105,29921,$7862041.96,3.88
7,2022-08-23,PRNT,MICROSOFT CORP,MSFT,594918104,27603,$7666733.25,3.78
8,2022-08-23,PRNT,DESKTOP METAL INC-A,DM,25058X105,2376839,$7629653.19,3.76
9,2022-08-23,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,188300,$7587759.03,3.74
10,2022-08-23,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,139318,$7484162.96,3.69
11,2022-08-23,PRNT,MARKFORGED HOLDING CORP,MKFG,57064N102,2717269,$6602963.67,3.26
12,2022-08-23,PRNT,3D SYSTEMS CORP,DDD,88554D205,614210,$6492199.70,3.2
13,2022-08-23,PRNT,HP INC,HPQ,40434L105,187732,$6272126.12,3.09
14,2022-08-23,PRNT,STRATASYS LTD,SSYS,M85548101,327037,$5880125.26,2.9
15,2022-08-23,PRNT,ATLANTIC COASTAL ACQUISITI-A,ACAH,048453104,597897,$5865369.57,2.89
16,2022-08-23,PRNT,RENISHAW PLC,RSW,0732358,127024,$5816615.38,2.87
17,2022-08-23,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,517845,$5664122.78,2.79
18,2022-08-23,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,48739,$5593207.17,2.76
19,2022-08-23,PRNT,PROTO LABS INC,PRLB,743713109,127345,$5342122.75,2.64
20,2022-08-23,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,1726669,$5352673.90,2.64
21,2022-08-23,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,432837,$4990610.61,2.46
22,2022-08-23,PRNT,BICO GROUP AB,BICO,BKMFJ94,1247544,$4560663.09,2.25
23,2022-08-23,PRNT,FATHOM DIGITAL MANUFACTURING,FATH,31189Y103,1177180,$4402653.20,2.17
24,2022-08-23,PRNT,AMETEK INC,AME,031100100,28463,$3590607.45,1.77
25,2022-08-23,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,303354,$3255278.41,1.61
26,2022-08-23,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,12467,$3192175.35,1.58
27,2022-08-23,PRNT,GENERAL ELECTRIC CO,GE,369604301,36125,$2701427.50,1.33
